                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3176,                 3.5057,                 1.5121,                0.33689,                0.30526,                0.24758,                0.18969,                0.96193,                 3.7227,                 1.3256,              0.0001625,              0.0001625,              0.0001625
                      2,                 1.0841,                 2.1249,                 1.2747,                0.18433,                0.60298,                0.35746,                0.28945,                0.76683,                 8.6558,                 1.0995,             0.00033416,             0.00033416,             0.00033416
                      3,                  1.067,                 1.9077,                 1.2874,                 0.0001,                  0.025,                  6e-05,                  1e-05,                 3.9567,                    inf,                 8.0888,             0.00050235,             0.00050235,             0.00050235
                      4,                 1.1358,                 1.6752,                  1.353,                 0.0105,                0.20536,                0.01484,                0.00707,                 2.1237,                    inf,                  28.07,             0.00066708,             0.00066708,             0.00066708
                      5,                 1.1588,                 1.5375,                 1.3077,                0.00162,                0.06071,                0.00092,                0.00031,                 4.2552,                    inf,                 43.464,             0.00082834,             0.00082834,             0.00082834
                      6,                 1.1164,                 1.5178,                 1.3156,                 0.0004,                0.06071,                0.00024,                  9e-05,                    nan,                    nan,                    nan,             0.00098614,             0.00098614,             0.00098614
                      7,                 1.2004,                 1.8014,                  1.491,                0.00101,                    0.1,                0.00087,                0.00048,                 4.1008,                    inf,                 441.19,              0.0011405,              0.0011405,              0.0011405
                      8,                 1.2011,                 1.4211,                 1.4162,                0.00101,                    0.1,                0.00087,                0.00048,                    nan,                    nan,                    nan,              0.0011634,              0.0011634,              0.0011634
                      9,                 1.1634,                 1.3374,                  1.315,                0.00067,                   0.05,                0.00037,                  7e-05,                 4.3588,                    inf,                  15.26,              0.0011634,              0.0011634,              0.0011634
                     10,                 1.1615,                 1.2655,                 1.3564,                0.23149,                0.17704,                0.14695,                0.11034,                 1.5842,                 8.7053,                 2.0312,               0.001151,               0.001151,               0.001151
                     11,                  1.314,                 1.5985,                  1.534,                0.20577,                0.34742,                0.17596,                0.12706,                 1.2781,                 6.7425,                 2.0301,              0.0011386,              0.0011386,              0.0011386
                     12,                 1.1168,                 1.2046,                 1.3502,                 0.2018,                0.39464,                0.24614,                 0.1552,                 1.2513,                 9.1967,                 1.8745,              0.0011263,              0.0011263,              0.0011263
                     13,                 1.1985,                 1.2001,                 1.4421,                0.40568,                0.42186,                0.29512,                0.21072,                 1.0446,                  5.185,                 1.4876,              0.0011139,              0.0011139,              0.0011139
                     14,                 1.2161,                 1.1231,                 1.3874,                0.45442,                0.48119,                0.47009,                0.36878,                 1.0491,                 3.7837,                 1.4047,              0.0011015,              0.0011015,              0.0011015
                     15,                 1.1125,                 1.0703,                 1.3011,                0.53828,                0.46908,                0.48104,                0.37089,                0.88227,                 3.7548,                 1.2205,              0.0010891,              0.0010891,              0.0010891
                     16,                 1.0422,                 1.1024,                 1.2837,                0.52581,                0.57198,                0.68024,                0.50664,                0.88309,                 3.9108,                 1.2957,              0.0010768,              0.0010768,              0.0010768
                     17,                 1.1193,                 1.0282,                 1.3167,                0.74405,                0.68956,                0.81849,                0.62586,                0.95109,                 1.5683,                 1.2981,              0.0010644,              0.0010644,              0.0010644
                     18,                 1.0998,                 1.0319,                 1.3402,                0.51415,                 0.6627,                0.67559,                0.53612,                 0.7548,                  1.552,                 1.1911,               0.001052,               0.001052,               0.001052
                     19,                 1.0298,                0.92908,                 1.2692,                0.69609,                 0.7925,                0.87071,                 0.7193,                0.70567,                 1.0879,                 1.1739,              0.0010396,              0.0010396,              0.0010396
                     20,                 1.0979,                0.96375,                 1.3448,                 0.7811,                0.69425,                0.78952,                0.61057,                0.92587,                 1.7781,                 1.3432,              0.0010273,              0.0010273,              0.0010273
                     21,                 1.0747,                0.93517,                 1.3578,                0.89669,                0.68473,                0.80352,                 0.6006,                0.89419,                 2.0829,                 1.2909,              0.0010149,              0.0010149,              0.0010149
                     22,                 1.0374,                 1.0228,                 1.3519,                0.62573,                0.84812,                0.79814,                0.64815,                0.67862,                  1.124,                 1.1497,              0.0010025,              0.0010025,              0.0010025
                     23,                 1.1455,                 1.0018,                 1.3735,                0.75331,                0.81944,                0.86021,                 0.6502,                0.84943,                 1.1382,                 1.2249,             0.00099013,             0.00099013,             0.00099013
                     24,                 1.0031,                0.88755,                 1.2948,                0.57093,                0.77629,                0.79619,                0.60913,                0.82491,                 1.8434,                 1.1799,             0.00097775,             0.00097775,             0.00097775
                     25,                0.99766,                0.85316,                 1.2751,                0.62806,                0.80445,                0.83542,                0.71023,                0.66211,                  1.096,                 1.0976,             0.00096537,             0.00096537,             0.00096537
                     26,                 1.0063,                0.83429,                  1.269,                0.69756,                0.85376,                0.85212,                0.61061,                0.99334,                 1.1131,                 1.2716,               0.000953,               0.000953,               0.000953
                     27,                 1.0437,                0.83723,                 1.3302,                0.73561,                0.82522,                0.85785,                0.70979,                0.72766,                0.85463,                 1.1268,             0.00094062,             0.00094062,             0.00094062
                     28,                0.97535,                0.81717,                 1.3151,                0.79109,                 0.7575,                0.89542,                0.73143,                0.72559,                0.78136,                 1.1559,             0.00092825,             0.00092825,             0.00092825
                     29,                0.97901,                0.82058,                 1.2693,                0.76738,                0.79315,                0.81024,                 0.6587,                0.71482,                0.99883,                  1.155,             0.00091588,             0.00091588,             0.00091588
                     30,                 1.0468,                0.87269,                 1.4428,                0.93032,                0.91812,                 0.9812,                0.78286,                0.80371,                0.63801,                 1.1726,              0.0009035,              0.0009035,              0.0009035
                     31,                0.99662,                 0.9073,                 1.2515,                0.90567,                0.98123,                0.98602,                0.85037,                 0.6539,                0.74142,                 1.0792,             0.00089112,             0.00089112,             0.00089112
                     32,                 1.0037,                0.75843,                 1.2673,                0.74881,                0.89014,                0.89514,                0.67794,                0.77379,                0.90816,                 1.1757,             0.00087875,             0.00087875,             0.00087875
                     33,                 1.0619,                0.88129,                 1.3531,                0.86706,                0.84532,                0.94386,                0.75996,                0.72184,                 0.7226,                 1.1435,             0.00086637,             0.00086637,             0.00086637
                     34,                 1.0201,                0.76871,                 1.3008,                0.87063,                0.98396,                0.97883,                0.82532,                0.66714,                0.60049,                 1.0849,               0.000854,               0.000854,               0.000854
                     35,                0.95345,                0.76429,                 1.3181,                0.89521,                0.91548,                0.96026,                0.76435,                0.75057,                0.64436,                  1.134,             0.00084162,             0.00084162,             0.00084162
                     36,                 1.0545,                0.87776,                 1.3293,                0.92802,                0.85882,                0.93436,                0.76957,                0.66995,                 0.6396,                 1.0948,             0.00082925,             0.00082925,             0.00082925
                     37,                0.93169,                0.76429,                 1.2312,                0.84027,                0.88616,                0.94047,                0.79328,                0.62036,                0.72314,                 1.0532,             0.00081688,             0.00081688,             0.00081688
                     38,                0.89394,                0.71867,                 1.2071,                0.84532,                0.85694,                0.87071,                 0.7451,                 0.6389,                0.76921,                 1.1126,              0.0008045,              0.0008045,              0.0008045
                     39,                 0.9096,                0.69128,                 1.2296,                0.82607,                0.87807,                0.92994,                0.72866,                0.78447,                0.80295,                 1.2034,             0.00079213,             0.00079213,             0.00079213
                     40,                 0.9792,                0.71807,                  1.243,                0.87135,                0.91231,                0.96097,                0.72477,                0.88678,                0.81194,                  1.219,             0.00077975,             0.00077975,             0.00077975
                     41,                0.91834,                 0.6954,                 1.2304,                0.81701,                 0.8099,                0.87596,                0.66904,                0.87606,                0.95111,                  1.278,             0.00076738,             0.00076738,             0.00076738
                     42,                0.92706,                0.67148,                 1.2503,                0.74746,                0.88104,                0.89477,                0.73288,                0.70441,                0.77013,                 1.1414,               0.000755,               0.000755,               0.000755
                     43,                0.92769,                  0.665,                 1.2133,                0.74558,                0.84167,                0.82499,                0.67614,                0.69283,                0.99698,                 1.1627,             0.00074263,             0.00074263,             0.00074263
                     44,                0.93683,                0.70685,                 1.2304,                0.82729,                0.79346,                0.87939,                0.73401,                0.67288,                0.78385,                 1.1357,             0.00073025,             0.00073025,             0.00073025
                     45,                0.86117,                0.67031,                 1.1948,                0.88304,                0.89606,                0.96047,                0.78636,                0.66224,                0.68446,                 1.1016,             0.00071788,             0.00071788,             0.00071788
                     46,                0.90057,                0.70128,                  1.189,                0.96469,                0.87338,                0.97364,                0.77584,                0.78949,                0.70087,                 1.1693,              0.0007055,              0.0007055,              0.0007055
                     47,                0.85758,                0.68322,                 1.1999,                0.74867,                0.92895,                0.91294,                0.77993,                0.64212,                0.70586,                 1.1278,             0.00069313,             0.00069313,             0.00069313
                     48,                0.93635,                0.71853,                 1.2541,                0.91969,                0.99617,                0.99074,                0.84201,                0.62096,                0.51527,                 1.0919,             0.00068075,             0.00068075,             0.00068075
                     49,                0.90759,                0.61666,                 1.2559,                0.93094,                0.98123,                0.98867,                0.85216,                0.59752,                0.50102,                  1.069,             0.00066838,             0.00066838,             0.00066838
                     50,                 0.8199,                0.58098,                  1.154,                0.88327,                0.91061,                0.97505,                0.82764,                0.64804,                0.60844,                 1.1098,               0.000656,               0.000656,               0.000656
                     51,                 0.8671,                 0.5966,                  1.196,                0.85052,                0.83556,                0.93161,                 0.8158,                0.55598,                0.67771,                 1.0616,             0.00064362,             0.00064362,             0.00064362
                     52,                0.87936,                0.62668,                 1.2542,                0.93173,                0.82655,                0.97463,                0.83922,                 0.5642,                0.57714,                 1.0409,             0.00063125,             0.00063125,             0.00063125
                     53,                0.80815,                0.59788,                 1.1914,                0.90306,                0.89824,                0.98108,                0.84806,                0.58821,                0.54485,                 1.0529,             0.00061887,             0.00061887,             0.00061887
                     54,                0.83131,                0.83769,                 1.2256,                0.84527,                0.87123,                0.91775,                0.77709,                0.61724,                0.67145,                 1.0799,              0.0006065,              0.0006065,              0.0006065
                     55,                0.83698,                0.59595,                 1.2308,                0.84655,                0.87781,                0.95042,                0.83182,                0.56005,                0.61082,                 1.0225,             0.00059413,             0.00059413,             0.00059413
                     56,                0.88474,                0.67692,                 1.2348,                0.93081,                0.92867,                0.96281,                0.86687,                0.52595,                0.54708,                 1.0239,             0.00058175,             0.00058175,             0.00058175
                     57,                0.81632,                 0.5475,                  1.176,                0.88163,                0.97903,                0.99143,                 0.8834,                0.52301,                0.49277,                 1.0214,             0.00056938,             0.00056938,             0.00056938
                     58,                0.80617,                0.55706,                 1.1406,                 0.9161,                0.92643,                0.97479,                0.84087,                0.61701,                0.50947,                 1.0677,               0.000557,               0.000557,               0.000557
                     59,                0.78829,                0.57072,                 1.1565,                0.86536,                0.92463,                0.97667,                0.86442,                0.54794,                0.55191,                 1.0266,             0.00054463,             0.00054463,             0.00054463
                     60,                0.83794,                0.60623,                 1.1596,                0.86984,                0.94278,                0.98035,                0.88271,                0.48982,                0.52844,                 1.0008,             0.00053225,             0.00053225,             0.00053225
                     61,                0.78292,                0.54917,                 1.1393,                0.89002,                0.97293,                0.97254,                0.85984,                0.56838,                0.48565,                 1.0474,             0.00051988,             0.00051988,             0.00051988
                     62,                0.77319,                0.55083,                  1.161,                0.94087,                 0.9487,                0.98822,                0.87524,                0.57692,                0.47936,                 1.0725,              0.0005075,              0.0005075,              0.0005075
                     63,                0.78341,                0.59653,                 1.1289,                 0.8906,                0.93302,                0.98393,                0.87006,                0.52742,                0.44854,                 1.0295,             0.00049513,             0.00049513,             0.00049513
                     64,                0.77051,                0.54069,                 1.1288,                0.93646,                0.97898,                0.98477,                0.89057,                0.52254,                0.42994,                 1.0144,             0.00048275,             0.00048275,             0.00048275
                     65,                0.80919,                0.56302,                 1.1972,                0.93738,                0.94461,                0.98459,                0.89981,                0.48752,                0.43695,                0.98749,             0.00047038,             0.00047038,             0.00047038
                     66,                0.79741,                0.53376,                 1.1588,                0.90409,                0.96695,                0.98634,                0.88364,                0.52242,                0.44306,                 1.0171,               0.000458,               0.000458,               0.000458
                     67,                0.74913,                0.52898,                 1.1281,                0.88024,                0.98066,                0.96777,                0.87521,                0.50512,                0.43604,                  1.013,             0.00044563,             0.00044563,             0.00044563
                     68,                0.75735,                0.60366,                 1.1407,                0.94862,                0.95927,                0.98595,                0.88943,                0.50881,                0.40979,                 1.0294,             0.00043325,             0.00043325,             0.00043325
                     69,                0.78366,                0.55021,                 1.1507,                0.84306,                 0.9481,                 0.9658,                0.84695,                0.52239,                 0.5015,                 1.0124,             0.00042087,             0.00042087,             0.00042087
                     70,                0.75429,                0.55693,                 1.1944,                0.95129,                0.96155,                0.99075,                0.88547,                0.50054,                0.40957,                0.98052,              0.0004085,              0.0004085,              0.0004085
                     71,                0.84269,                0.57731,                 1.2461,                0.90587,                0.98677,                0.99262,                0.87011,                0.53505,                 0.4246,                 1.0032,             0.00039613,             0.00039613,             0.00039613
                     72,                0.86384,                0.61813,                 1.1765,                 0.9771,                0.94228,                0.99213,                  0.867,                0.57146,                0.38927,                 1.0618,             0.00038375,             0.00038375,             0.00038375
                     73,                0.73343,                0.56952,                 1.1495,                0.95962,                0.99154,                  0.995,                0.89212,                0.47645,                0.34956,                 1.0055,             0.00037138,             0.00037138,             0.00037138
                     74,                0.70829,                0.57997,                 1.1183,                0.95783,                0.97201,                0.98593,                0.91383,                0.45538,                0.38572,                0.97318,               0.000359,               0.000359,               0.000359
                     75,                0.75356,                0.51218,                 1.1384,                0.95174,                0.96689,                0.98512,                0.90005,                0.47071,                0.37996,                0.97453,             0.00034663,             0.00034663,             0.00034663
                     76,                0.78508,                0.54588,                 1.2216,                0.92699,                0.94322,                0.97795,                0.89911,                0.47419,                0.42286,                0.97352,             0.00033425,             0.00033425,             0.00033425
                     77,                0.74628,                0.47904,                 1.1016,                0.93948,                0.97094,                0.98561,                 0.9074,                0.47038,                0.42002,                0.97739,             0.00032188,             0.00032188,             0.00032188
                     78,                0.73734,                0.51122,                 1.1631,                0.95064,                  0.982,                  0.995,                0.92075,                0.46019,                0.35008,                0.98135,              0.0003095,              0.0003095,              0.0003095
                     79,                0.70711,                0.55759,                 1.1596,                0.94821,                0.98498,                  0.995,                0.90713,                0.47315,                0.33763,                0.99396,             0.00029713,             0.00029713,             0.00029713
                     80,                0.75665,                0.51793,                 1.1095,                 0.9491,                0.96486,                  0.995,                0.91655,                0.46113,                0.34629,                0.97766,             0.00028475,             0.00028475,             0.00028475
                     81,                0.69027,                0.47765,                 1.0945,                0.95899,                0.98403,                  0.995,                0.92837,                0.42575,                0.32976,                0.95669,             0.00027237,             0.00027237,             0.00027237
                     82,                0.69159,                0.47893,                 1.0812,                0.98253,                      1,                  0.995,                0.91956,                 0.4534,                0.33831,                 0.9772,                0.00026,                0.00026,                0.00026
                     83,                0.79052,                0.51411,                 1.2296,                0.97096,                0.97679,                  0.995,                0.91903,                0.47923,                0.32845,                0.99138,             0.00024762,             0.00024762,             0.00024762
                     84,                0.69264,                 0.4773,                 1.1112,                0.95125,                0.95823,                0.99273,                0.90901,                0.49697,                0.35753,                 1.0004,             0.00023525,             0.00023525,             0.00023525
                     85,                0.70912,                0.54133,                 1.1191,                0.97788,                0.99112,                  0.995,                0.91088,                0.49435,                0.32618,                0.99803,             0.00022288,             0.00022288,             0.00022288
                     86,                0.67316,                0.47254,                 1.1108,                0.94294,                0.98443,                0.99273,                0.90743,                0.46363,                0.33313,                0.97136,              0.0002105,              0.0002105,              0.0002105
                     87,                0.69893,                 0.4677,                 1.0832,                0.94034,                0.98021,                0.99213,                0.92376,                0.44828,                 0.3419,                 0.9593,             0.00019813,             0.00019813,             0.00019813
                     88,                0.66212,                0.44696,                 1.0835,                0.94586,                0.97195,                 0.9944,                0.93225,                0.44494,                0.34254,                 0.9572,             0.00018575,             0.00018575,             0.00018575
                     89,                0.66344,                0.46682,                 1.1156,                0.95082,                0.97369,                 0.9944,                0.92519,                0.42533,                0.33594,                0.95644,             0.00017338,             0.00017338,             0.00017338
                     90,                0.63257,                0.44268,                  1.089,                 0.9764,                0.95989,                 0.9944,                0.92087,                0.44123,                0.35959,                0.96947,               0.000161,               0.000161,               0.000161
                     91,                 0.6074,                 0.3782,                 1.0722,                0.98205,                0.95559,                  0.995,                0.91574,                0.44979,                0.36628,                0.97666,             0.00014862,             0.00014862,             0.00014862
                     92,                0.53595,                0.34168,                 0.9924,                0.98488,                0.95314,                  0.995,                0.91643,                0.43609,                0.36583,                0.95945,             0.00013625,             0.00013625,             0.00013625
                     93,                0.53617,                 0.3347,                0.99325,                0.98194,                0.96887,                  0.995,                0.92019,                0.42587,                0.34119,                0.95099,             0.00012387,             0.00012387,             0.00012387
