                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2732,                 2.7382,                 1.4438,                0.41012,                0.50517,                 0.4621,                0.32766,                0.99351,                 10.663,                 1.2228,              0.0001625,              0.0001625,              0.0001625
                      2,                 1.0389,                 1.7459,                 1.2328,                0.75633,                0.44117,                0.53015,                0.45864,                0.61362,                 2.2832,                 1.0298,             0.00033416,             0.00033416,             0.00033416
                      3,                 1.0207,                 1.5123,                   1.24,                0.32613,                0.50622,                0.33404,                 0.2725,                0.76167,                    inf,                 1.3206,             0.00050235,             0.00050235,             0.00050235
                      4,                 1.0617,                 1.4803,                 1.3023,                0.21455,                0.56815,                0.19004,                0.14892,                 1.0291,                 24.332,                  1.426,             0.00066708,             0.00066708,             0.00066708
                      5,                 1.1396,                 1.2759,                  1.273,                0.19237,                0.57837,                 0.1986,                0.16851,                0.93275,                     19,                 5.1975,             0.00082834,             0.00082834,             0.00082834
                      6,                 1.0368,                 1.1666,                 1.2428,                0.40708,                0.48077,                0.38559,                0.28865,                0.97405,                 4.7768,                 1.3513,             0.00098614,             0.00098614,             0.00098614
                      7,                 1.0861,                 1.5653,                 1.3337,                0.07733,                0.57579,                0.07047,                0.04735,                 1.1026,                  43.89,                   1.55,              0.0011405,              0.0011405,              0.0011405
                      8,                 1.0501,                  1.128,                 1.2386,                0.03886,                0.27004,                0.02925,                0.01853,                 1.1955,                  34.01,                  1.645,              0.0011634,              0.0011634,              0.0011634
                      9,                 1.1289,                 1.0407,                   1.26,                 0.0323,                  0.075,                0.01325,                 0.0035,                 2.7307,                    inf,                 3.4842,              0.0011634,              0.0011634,              0.0011634
                     10,                 1.1376,                 1.0101,                 1.3028,                0.14843,                0.42917,                 0.1998,                0.15852,                0.81524,                  9.043,                 1.2422,               0.001151,               0.001151,               0.001151
                     11,                  1.139,                 1.2063,                 1.3967,                0.24219,                 0.4627,                0.29912,                0.20387,                0.78753,                 8.2867,                 1.2092,              0.0011386,              0.0011386,              0.0011386
                     12,                 1.0818,                0.99108,                 1.2746,                0.49312,                 0.2934,                0.33129,                 0.2527,                 1.0907,                 2.7513,                 1.4355,              0.0011263,              0.0011263,              0.0011263
                     13,                 1.1131,                 1.0378,                 1.3712,                 0.2731,                0.33056,                0.23604,                0.17368,                 1.1066,                 3.3256,                  1.333,              0.0011139,              0.0011139,              0.0011139
