                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4011,                 3.0918,                 1.5108,                0.50293,                0.59427,                0.52083,                0.32086,                 1.3405,                  6.478,                 1.3466,              0.0001625,              0.0001625,              0.0001625
                      2,                 1.0718,                 1.7118,                 1.2266,                0.47745,                0.58142,                0.55044,                0.44858,                0.70519,                 1.7651,                 1.0464,             0.00033416,             0.00033416,             0.00033416
                      3,                 1.0073,                 1.5378,                 1.1724,                0.47371,                0.65397,                0.53134,                0.40457,                0.71307,                 2.6424,                 1.0409,             0.00050235,             0.00050235,             0.00050235
                      4,                 1.0291,                 1.3186,                 1.2201,                0.43093,                0.55795,                0.49954,                0.34769,                 1.0058,                 2.7045,                 1.3627,             0.00066708,             0.00066708,             0.00066708
                      5,                 1.0303,                 1.1046,                 1.1851,                0.55791,                0.52406,                0.54927,                 0.4428,                0.84977,                 2.8659,                 1.2523,             0.00082834,             0.00082834,             0.00082834
                      6,                 1.0199,                 1.0666,                 1.1953,                0.56633,                0.47319,                0.46993,                0.34637,                 0.9171,                  1.805,                 1.2939,             0.00098614,             0.00098614,             0.00098614
                      7,                0.97773,                 1.1676,                 1.2245,                0.44346,                 0.6369,                0.53563,                0.39326,                0.99657,                 1.9379,                 1.2969,              0.0011405,              0.0011405,              0.0011405
                      8,                 1.0474,                0.98672,                 1.2881,                 0.6376,                0.70551,                0.68526,                0.57148,                0.72729,                  1.768,                 1.2134,              0.0011634,              0.0011634,              0.0011634
                      9,                 1.0672,                0.95257,                 1.2209,                0.44459,                0.45468,                0.36583,                0.28527,                 0.7853,                 2.2382,                 1.1761,              0.0011634,              0.0011634,              0.0011634
                     10,                 1.0226,                 0.8579,                 1.1998,                0.63371,                 0.6254,                0.54199,                0.41684,                0.75989,                 1.9029,                 1.1238,               0.001151,               0.001151,               0.001151
                     11,                 1.0579,                 1.0743,                 1.3054,                  0.651,                 0.6744,                0.69678,                0.54533,                0.76073,                 1.4327,                 1.0997,              0.0011386,              0.0011386,              0.0011386
                     12,                 0.9759,                0.85645,                 1.1966,                0.64989,                0.63904,                0.65133,                0.48575,                 0.9434,                  1.673,                 1.2408,              0.0011263,              0.0011263,              0.0011263
                     13,                0.99249,                0.98724,                 1.2145,                0.62992,                0.78651,                0.78131,                 0.5967,                 0.7941,                 1.5606,                 1.1716,              0.0011139,              0.0011139,              0.0011139
                     14,                 1.0446,                0.86759,                 1.2797,                0.78186,                0.69107,                0.77409,                0.62092,                0.74762,                 1.3236,                 1.1353,              0.0011015,              0.0011015,              0.0011015
                     15,                0.96315,                 0.7757,                 1.1682,                0.77308,                0.67478,                0.81751,                 0.6075,                0.78039,                 1.5016,                 1.1336,              0.0010891,              0.0010891,              0.0010891
                     16,                0.89548,                0.82341,                 1.1685,                0.78275,                0.85968,                0.81461,                0.67057,                0.69841,                0.92509,                  1.101,              0.0010768,              0.0010768,              0.0010768
                     17,                 0.9619,                0.76102,                 1.1802,                0.91685,                0.85171,                0.90082,                0.72853,                0.72629,                 0.8546,                  1.116,              0.0010644,              0.0010644,              0.0010644
                     18,                0.95115,                0.72759,                  1.207,                0.85578,                0.88937,                0.93817,                0.73502,                0.78559,                0.91661,                 1.1311,               0.001052,               0.001052,               0.001052
                     19,                0.91568,                0.69154,                 1.1417,                0.79241,                0.93886,                0.93613,                 0.7354,                0.78106,                0.89871,                 1.1423,              0.0010396,              0.0010396,              0.0010396
                     20,                0.94147,                0.71683,                 1.1491,                0.91716,                0.71487,                0.89164,                0.71313,                 0.7802,                0.93888,                 1.1312,              0.0010273,              0.0010273,              0.0010273
                     21,                0.92757,                0.73488,                 1.2207,                0.84971,                0.94798,                0.96598,                 0.7396,                 0.9281,                0.75159,                 1.2076,              0.0010149,              0.0010149,              0.0010149
                     22,                0.86729,                0.76688,                 1.1427,                0.92636,                0.91255,                0.98438,                 0.8445,                0.64153,                0.61659,                 1.0336,              0.0010025,              0.0010025,              0.0010025
                     23,                0.95421,                0.70539,                 1.1663,                 0.8473,                0.89722,                 0.9494,                0.78678,                0.69886,                0.62041,                   1.07,             0.00099013,             0.00099013,             0.00099013
                     24,                0.82991,                0.66839,                 1.1214,                0.84636,                0.83819,                0.90561,                0.75565,                0.64018,                0.68292,                 1.0568,             0.00097775,             0.00097775,             0.00097775
                     25,                0.84687,                0.68164,                 1.1314,                0.92174,                0.90491,                0.95946,                0.82271,                0.60112,                0.59096,                 1.0313,             0.00096537,             0.00096537,             0.00096537
                     26,                0.88174,                 0.6654,                 1.1218,                  0.776,                0.92863,                 0.9221,                0.77946,                0.66918,                0.63595,                 1.0447,               0.000953,               0.000953,               0.000953
                     27,                0.94829,                0.69062,                 1.2027,                0.92763,                0.76577,                 0.8828,                0.74356,                0.67351,                0.73849,                 1.0564,             0.00094062,             0.00094062,             0.00094062
                     28,                0.85446,                0.68087,                  1.128,                  0.923,                 0.9614,                0.96955,                0.80051,                0.63795,                0.61593,                  1.029,             0.00092825,             0.00092825,             0.00092825
                     29,                0.88273,                0.65112,                 1.1218,                0.84059,                0.83397,                0.91551,                0.79047,                0.62837,                0.77254,                 1.0049,             0.00091588,             0.00091588,             0.00091588
                     30,                0.88016,                0.63104,                  1.201,                 0.9372,                0.92265,                0.95271,                0.83455,                0.57692,                0.54983,                0.99787,              0.0009035,              0.0009035,              0.0009035
                     31,                0.84191,                0.65906,                 1.1276,                0.89674,                0.95922,                0.95201,                0.80595,                0.61643,                 0.5497,                 1.0268,             0.00089112,             0.00089112,             0.00089112
                     32,                0.81535,                0.55988,                 1.0947,                0.84135,                0.87318,                0.93534,                0.73778,                0.76242,                0.71082,                 1.0855,             0.00087875,             0.00087875,             0.00087875
                     33,                0.85632,                0.61235,                 1.1282,                0.87415,                 0.8625,                0.95875,                 0.8086,                0.63874,                0.65819,                 1.0201,             0.00086637,             0.00086637,             0.00086637
                     34,                0.78703,                0.57244,                 1.0848,                0.94536,                0.89638,                0.97645,                0.85677,                0.58474,                0.57941,                0.99529,               0.000854,               0.000854,               0.000854
                     35,                0.76044,                0.59561,                 1.0877,                0.89137,                0.78273,                0.93568,                0.80912,                0.55134,                0.71217,                0.98512,             0.00084162,             0.00084162,             0.00084162
                     36,                0.83339,                0.71795,                 1.1787,                0.77851,                0.93195,                 0.8668,                0.76472,                0.52742,                0.73068,                0.97764,             0.00082925,             0.00082925,             0.00082925
                     37,                0.75732,                 0.5969,                   1.07,                0.80246,                0.91893,                 0.8533,                0.75704,                0.49426,                0.73789,                0.95941,             0.00081688,             0.00081688,             0.00081688
                     38,                0.69273,                0.53765,                 1.0224,                0.89689,                0.93629,                0.95522,                0.85431,                0.50632,                0.56838,                0.94478,              0.0008045,              0.0008045,              0.0008045
