                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3221,                 3.3684,                 1.5767,                0.46296,                0.46032,                0.40844,                0.31576,                 0.7794,                 3.6408,                 1.1959,              0.0001625,              0.0001625,              0.0001625
                      2,                 1.0378,                 2.1729,                 1.2772,                0.13841,                 0.5506,                0.11497,                0.09061,                0.94495,                    inf,                  1.685,             0.00033416,             0.00033416,             0.00033416
                      3,                  1.126,                 1.9457,                 1.3395,                 0.0018,                0.13393,                0.00187,                0.00064,                 1.7703,                    inf,                 17.203,             0.00050235,             0.00050235,             0.00050235
                      4,                 1.1883,                 1.7811,                 1.4586,                  9e-05,                0.03571,                0.00034,                  7e-05,                    nan,                    nan,                    nan,             0.00066708,             0.00066708,             0.00066708
                      5,                 1.2302,                 1.6647,                 1.3672,                  9e-05,                0.03571,                0.00034,                  7e-05,                 3.7768,                    inf,                 31.087,             0.00082834,             0.00082834,             0.00082834
                      6,                 1.1444,                  1.547,                 1.3627,                0.00118,                0.14643,                0.00095,                0.00028,                 4.1846,                    inf,                 116.23,             0.00098614,             0.00098614,             0.00098614
                      7,                 1.1491,                 1.5887,                 1.4265,                0.00151,                0.06071,                0.00091,                0.00027,                 3.7157,                    inf,                 63.654,              0.0011405,              0.0011405,              0.0011405
                      8,                 1.1906,                 1.6422,                 1.4058,                0.00221,                 0.0125,                0.00073,                0.00035,                 2.9203,                    inf,                  15.23,              0.0011634,              0.0011634,              0.0011634
                      9,                 1.1595,                  1.349,                 1.3334,                0.00448,                0.21071,                0.00397,                0.00182,                 2.4678,                    inf,                 4.8885,              0.0011634,              0.0011634,              0.0011634
                     10,                 1.1972,                  1.307,                 1.3821,                  0.475,                0.09821,                0.24784,                 0.1803,                0.92559,                 34.155,                   1.55,               0.001151,               0.001151,               0.001151
                     11,                 1.2671,                 1.5853,                  1.523,                0.22362,                0.58989,                0.33876,                 0.2395,                0.96799,                  44.26,                 1.5269,              0.0011386,              0.0011386,              0.0011386
                     12,                 1.1422,                 1.2699,                 1.3666,                0.09373,                 0.0375,                0.03802,                0.01713,                 3.1663,                 12.236,                 3.4697,              0.0011263,              0.0011263,              0.0011263
                     13,                 1.2027,                 1.2592,                 1.4217,                0.03463,                  0.025,                0.00956,                0.00396,                 3.4058,                    inf,                 4.8358,              0.0011139,              0.0011139,              0.0011139
                     14,                  1.169,                   1.17,                 1.4078,                0.32443,                0.61549,                0.43034,                0.32934,                0.88996,                 3.6171,                 1.2601,              0.0011015,              0.0011015,              0.0011015
                     15,                 1.0957,                 1.0951,                 1.3122,                0.33169,                0.53623,                0.42723,                0.34519,                 1.0261,                 1.8078,                 1.3514,              0.0010891,              0.0010891,              0.0010891
                     16,                 1.0574,                 1.0791,                 1.3221,                0.50005,                0.59484,                0.58975,                0.42414,                   1.03,                 3.6145,                 1.3692,              0.0010768,              0.0010768,              0.0010768
                     17,                 1.1418,                 1.0313,                  1.347,                0.68692,                0.59389,                0.74021,                0.53358,                 1.0137,                 2.4764,                 1.3378,              0.0010644,              0.0010644,              0.0010644
                     18,                 1.0603,                  1.016,                 1.3246,                 0.7673,                0.63449,                0.76858,                0.56471,                0.90878,                 2.1278,                 1.3138,               0.001052,               0.001052,               0.001052
                     19,                 1.0484,                0.96247,                 1.2883,                0.65525,                 0.5256,                0.59262,                0.45654,                 1.0829,                 1.8666,                 1.7026,              0.0010396,              0.0010396,              0.0010396
                     20,                 1.0963,                0.95735,                 1.3295,                0.74119,                0.68918,                0.75094,                0.54973,                 1.0392,                 2.3616,                 1.3661,              0.0010273,              0.0010273,              0.0010273
                     21,                 1.0925,                0.94369,                 1.3681,                0.77392,                0.77531,                0.81674,                 0.6466,                0.79462,                 1.3859,                 1.2387,              0.0010149,              0.0010149,              0.0010149
                     22,                 1.0297,                 0.9961,                  1.337,                0.76616,                 0.7645,                0.81313,                0.67145,                0.73374,                  1.119,                 1.1468,              0.0010025,              0.0010025,              0.0010025
                     23,                 1.0973,                 1.0575,                 1.3464,                0.72203,                0.69829,                0.78632,                0.59138,                0.90047,                  1.167,                 1.2844,             0.00099013,             0.00099013,             0.00099013
                     24,                0.99155,                0.84955,                 1.2857,                0.71681,                 0.6267,                0.75504,                0.58814,                0.84906,                 1.0484,                 1.1944,             0.00097775,             0.00097775,             0.00097775
                     25,                0.99865,                0.90516,                 1.2913,                0.64178,                0.79552,                0.79113,                0.63707,                0.73344,                 1.0656,                  1.143,             0.00096537,             0.00096537,             0.00096537
                     26,                 1.0119,                0.88019,                 1.2949,                0.81757,                0.76547,                0.85886,                0.64192,                0.98258,                 1.5267,                 1.3046,               0.000953,               0.000953,               0.000953
                     27,                 1.0637,                 0.8675,                 1.3427,                0.74477,                0.80139,                0.84736,                0.69761,                 0.6411,                 1.2082,                 1.0749,             0.00094062,             0.00094062,             0.00094062
                     28,                0.98177,                0.86775,                 1.3071,                0.64819,                0.79221,                0.75472,                0.61455,                0.72533,                 1.0517,                 1.1501,             0.00092825,             0.00092825,             0.00092825
                     29,                 1.0487,                0.87632,                 1.3128,                0.67934,                0.59195,                0.73326,                0.59739,                0.74599,                 1.2726,                 1.1484,             0.00091588,             0.00091588,             0.00091588
                     30,                  1.021,                0.91318,                 1.4256,                0.59207,                0.86674,                0.81878,                0.68425,                 0.6604,                0.89215,                  1.083,              0.0009035,              0.0009035,              0.0009035
                     31,                 1.0014,                0.93768,                 1.2989,                0.92707,                0.90202,                0.95537,                0.82353,                0.58936,                0.63461,                 1.0274,             0.00089112,             0.00089112,             0.00089112
                     32,                0.96722,                0.75992,                 1.2407,                0.80776,                0.91162,                0.96981,                0.83739,                0.66741,                0.73142,                 1.0832,             0.00087875,             0.00087875,             0.00087875
                     33,                 1.0277,                0.81919,                 1.3129,                0.91286,                  0.875,                0.97223,                0.80714,                0.72392,                0.61429,                 1.1094,             0.00086637,             0.00086637,             0.00086637
                     34,                0.98024,                0.72265,                 1.2925,                0.82083,                 0.9291,                  0.937,                0.79141,                0.68484,                 0.7353,                 1.1112,               0.000854,               0.000854,               0.000854
                     35,                0.94616,                0.72717,                 1.3011,                0.79118,                0.85246,                0.89626,                0.74809,                0.73497,                0.78879,                 1.1321,             0.00084162,             0.00084162,             0.00084162
                     36,                0.98599,                 0.9321,                 1.3108,                0.89869,                 0.9269,                0.95511,                  0.779,                0.76954,                0.68149,                 1.1824,             0.00082925,             0.00082925,             0.00082925
                     37,                0.92645,                0.72211,                 1.2305,                0.87758,                0.98363,                0.98462,                0.80268,                0.77848,                0.64002,                 1.1681,             0.00081688,             0.00081688,             0.00081688
                     38,                0.88663,                0.67689,                 1.2198,                0.82084,                0.92964,                 0.9674,                0.83858,                0.65985,                0.67056,                 1.0802,              0.0008045,              0.0008045,              0.0008045
                     39,                0.90427,                0.65165,                 1.2242,                0.80348,                0.91864,                0.93767,                 0.7826,                0.70984,                0.78826,                 1.1213,             0.00079213,             0.00079213,             0.00079213
                     40,                0.97827,                0.72097,                 1.2603,                0.86362,                0.82231,                0.90833,                0.75671,                0.71074,                 0.7225,                 1.1321,             0.00077975,             0.00077975,             0.00077975
                     41,                0.90823,                0.68025,                 1.2461,                0.91952,                0.87352,                0.97118,                0.84293,                0.56881,                 1.0896,                 1.0476,             0.00076738,             0.00076738,             0.00076738
                     42,                0.97468,                 0.6889,                 1.2948,                 0.8592,                0.94166,                0.95153,                0.82361,                0.58779,                0.64374,                 1.0346,               0.000755,               0.000755,               0.000755
                     43,                0.91505,                0.69214,                 1.2411,                0.91253,                0.80264,                0.94917,                0.80688,                0.61792,                0.73311,                 1.0592,             0.00074263,             0.00074263,             0.00074263
                     44,                0.96772,                0.70603,                 1.2474,                 0.9458,                0.93785,                0.98287,                0.82432,                0.63807,                0.59358,                 1.0966,             0.00073025,             0.00073025,             0.00073025
                     45,                 0.8901,                0.66356,                 1.2257,                0.90869,                0.95894,                0.98886,                0.84036,                0.63168,                0.50231,                 1.0821,             0.00071788,             0.00071788,             0.00071788
                     46,                0.90814,                0.67669,                  1.195,                0.85893,                 0.9422,                0.97774,                 0.8816,                0.54845,                0.55715,                 1.0086,              0.0007055,              0.0007055,              0.0007055
                     47,                0.85595,                0.61586,                 1.2132,                0.87253,                0.95237,                0.97444,                0.83678,                0.65643,                0.51862,                 1.0611,             0.00069313,             0.00069313,             0.00069313
                     48,                0.94104,                0.68743,                 1.2538,                0.89553,                0.93682,                0.97945,                0.82006,                0.67858,                0.49059,                 1.0753,             0.00068075,             0.00068075,             0.00068075
                     49,                0.87346,                0.61719,                 1.2473,                0.92338,                 0.9393,                0.97019,                 0.8136,                0.68748,                0.52397,                 1.1099,             0.00066838,             0.00066838,             0.00066838
