                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1648,                  3.591,                 1.2462,                0.00754,                0.92222,                0.28602,                0.19849,                0.84072,                  3.437,                0.96434,              0.0001625,              0.0001625,              0.0001625
                      2,                 1.0199,                 2.2794,                 1.1226,                0.82951,                0.09069,                0.50087,                0.39013,                0.73329,                 2.8559,                0.92547,             0.00033416,             0.00033416,             0.00033416
                      3,                0.96462,                 2.0481,                 1.0704,                0.87484,                   0.15,                0.47211,                 0.3791,                0.67298,                 2.7738,                0.91105,             0.00050235,             0.00050235,             0.00050235
                      4,                 1.0259,                 1.7502,                 1.1121,                0.65921,                    0.2,                 0.4634,                0.33517,                 0.8044,                 2.8633,                0.98447,             0.00066708,             0.00066708,             0.00066708
                      5,                0.97593,                 1.5474,                  1.048,                0.41727,                0.49325,                0.61957,                0.51999,                0.65729,                 2.3607,                 0.9897,             0.00082834,             0.00082834,             0.00082834
                      6,                0.98026,                 1.5416,                 1.0783,                0.43354,                0.50898,                0.60878,                0.46285,                 0.7403,                 2.4702,                 1.0146,             0.00098614,             0.00098614,             0.00098614
                      7,                 0.9622,                 1.5859,                 1.0761,                0.51369,                0.50067,                0.51528,                 0.3418,                 1.1335,                 2.3089,                 1.1587,              0.0011405,              0.0011405,              0.0011405
                      8,                 1.0313,                 1.4103,                 1.1319,                 0.7386,                0.47184,                 0.6519,                0.54362,                0.79959,                  2.108,                 1.0919,              0.0011634,              0.0011634,              0.0011634
                      9,                0.94468,                 1.3092,                  1.088,                0.73445,                0.40198,                0.60242,                 0.4434,                0.96778,                 2.3313,                 1.1705,              0.0011634,              0.0011634,              0.0011634
                     10,                0.98163,                 1.2505,                 1.1079,                0.89838,                0.56949,                0.83454,                0.70448,                0.68692,                 1.7481,                 1.0639,               0.001151,               0.001151,               0.001151
                     11,                 1.0085,                 1.3002,                 1.1471,                 0.8756,                0.70958,                0.84763,                0.63127,                0.90154,                 1.6134,                 1.0983,              0.0011386,              0.0011386,              0.0011386
                     12,                0.97187,                 1.1409,                 1.0835,                0.75905,                 0.8155,                0.87248,                0.71099,                0.63866,                  1.318,                 0.9988,              0.0011263,              0.0011263,              0.0011263
                     13,                0.99897,                 1.1281,                 1.1666,                0.80154,                0.75398,                0.85691,                0.68258,                0.75717,                 1.3541,                 1.0284,              0.0011139,              0.0011139,              0.0011139
                     14,                 1.1025,                 1.3712,                 1.3035,                0.83991,                0.63936,                0.84934,                 0.7139,                0.67311,                 1.3758,                 1.0125,              0.0011015,              0.0011015,              0.0011015
                     15,                 0.8865,                 1.0235,                 1.0626,                0.80866,                0.81698,                 0.8705,                0.70846,                0.66016,                 1.2162,                0.99932,              0.0010891,              0.0010891,              0.0010891
                     16,                0.89233,                 1.0055,                 1.0746,                0.91009,                0.85873,                0.92525,                0.74117,                0.80004,                 1.1414,                 1.0964,              0.0010768,              0.0010768,              0.0010768
                     17,                0.99902,                  1.239,                 1.0838,                0.90795,                0.87947,                0.90054,                0.72438,                0.86892,                  1.203,                  1.104,              0.0010644,              0.0010644,              0.0010644
                     18,                0.88681,                0.92682,                 1.0564,                0.81033,                0.91354,                0.92062,                0.66706,                 1.1006,                 1.1287,                 1.1917,               0.001052,               0.001052,               0.001052
                     19,                0.85963,                0.90698,                 1.0608,                0.88341,                0.74874,                0.91747,                0.78587,                0.58345,                 1.0329,                 0.9653,              0.0010396,              0.0010396,              0.0010396
                     20,                 0.8412,                0.91607,                 1.0321,                0.75548,                0.86227,                0.89633,                0.77679,                0.60066,                 1.1413,                  0.978,              0.0010273,              0.0010273,              0.0010273
                     21,                0.81939,                0.89905,                 1.0317,                0.84657,                0.86633,                0.93651,                0.79696,                0.62182,                 1.0187,                0.98369,              0.0010149,              0.0010149,              0.0010149
                     22,                0.86533,                 1.0763,                  1.057,                0.81664,                0.73626,                0.84772,                0.69721,                0.71282,                 1.2015,                0.99677,              0.0010025,              0.0010025,              0.0010025
                     23,                0.81504,                 1.0231,                 1.0324,                 0.8595,                0.80877,                0.89387,                 0.7497,                 0.6127,                 1.0938,                   0.96,             0.00099013,             0.00099013,             0.00099013
                     24,                0.84578,                0.81472,                 1.0482,                0.92216,                0.93482,                0.97811,                0.80365,                 0.6771,                0.86371,                 0.9903,             0.00097775,             0.00097775,             0.00097775
                     25,                0.89596,                0.84608,                 1.0694,                0.86021,                0.96898,                 0.9406,                0.79469,                0.62127,                0.87323,                0.99141,             0.00096537,             0.00096537,             0.00096537
                     26,                0.82006,                0.81086,                 1.0176,                0.89667,                0.92827,                0.95253,                0.84087,                0.55086,                0.84731,                0.94629,               0.000953,               0.000953,               0.000953
                     27,                0.82214,                0.80093,                 1.0526,                0.90236,                0.90412,                0.96198,                0.83966,                0.55805,                0.81995,                0.96552,             0.00094062,             0.00094062,             0.00094062
                     28,                0.80871,                0.81025,                 1.0608,                0.73318,                 0.8727,                0.90568,                 0.7315,                0.77711,                0.97853,                 1.0139,             0.00092825,             0.00092825,             0.00092825
                     29,                0.80626,                0.78576,                 1.0119,                0.75851,                0.76536,                0.82434,                0.69582,                0.59368,                 1.1839,                0.93476,             0.00091588,             0.00091588,             0.00091588
                     30,                0.87058,                0.89926,                 1.0822,                0.75913,                0.84857,                0.89723,                0.78819,                0.52413,                 1.0739,                 0.9384,              0.0009035,              0.0009035,              0.0009035
                     31,                0.79514,                 1.0418,                 1.0659,                0.74546,                0.84563,                0.87844,                 0.7685,                0.56686,                  0.943,                0.93989,             0.00089112,             0.00089112,             0.00089112
                     32,                0.76189,                0.70405,                  1.011,                0.79203,                0.91792,                0.92184,                0.78292,                0.63176,                0.77868,                0.97882,             0.00087875,             0.00087875,             0.00087875
                     33,                0.78692,                0.83328,                 1.0292,                 0.8744,                0.93246,                 0.9375,                0.83266,                0.53649,                0.71465,                0.91274,             0.00086637,             0.00086637,             0.00086637
                     34,                 0.7359,                0.67794,                 1.0114,                0.93076,                 0.9875,                0.99159,                0.85531,                0.58114,                0.57614,                0.96519,               0.000854,               0.000854,               0.000854
                     35,                0.81207,                0.77525,                 1.0413,                0.96205,                 0.9882,                0.99321,                0.85164,                0.65524,                0.57191,                 1.0257,             0.00084162,             0.00084162,             0.00084162
                     36,                0.76379,                0.77051,                  1.068,                0.89311,                0.94792,                0.98244,                0.88235,                0.54131,                0.69538,                0.93932,             0.00082925,             0.00082925,             0.00082925
                     37,                 0.7602,                0.73096,                 1.0043,                0.83088,                0.89091,                0.93627,                0.82367,                0.53676,                0.76041,                0.93047,             0.00081688,             0.00081688,             0.00081688
                     38,                0.75729,                0.69716,                0.99656,                 0.8081,                0.91173,                0.89904,                0.78084,                0.55414,                 1.0231,                0.93254,              0.0008045,              0.0008045,              0.0008045
                     39,                0.76709,                0.66429,                 1.0234,                0.87413,                0.72355,                 0.8918,                0.81046,                0.48821,                0.94039,                0.91721,             0.00079213,             0.00079213,             0.00079213
                     40,                0.75061,                0.65743,                0.99419,                0.94353,                0.85654,                0.96604,                0.85834,                0.54066,                0.66825,                0.91584,             0.00077975,             0.00077975,             0.00077975
